scenario,base,type,sampleSize,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
42,moderate,constant,1063,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.03125
43,moderate,constant,17000,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.025
44,moderate,constant,17000,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.018750000000000003
45,moderate,constant,17000,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.03125
46,moderate,linear-high,4250,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.021
47,moderate,linear-high,4250,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.01575
48,moderate,linear-high,4250,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.026250000000000002
49,moderate,linear-high,1063,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.021
50,moderate,linear-high,1063,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.01575
51,moderate,linear-high,1063,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.026250000000000002
52,moderate,linear-high,17000,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.021
53,moderate,linear-high,17000,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.01575
54,moderate,linear-high,17000,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.026250000000000002
55,moderate,quadratic-high,4250,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.017
56,moderate,quadratic-high,4250,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.012750000000000001
57,moderate,quadratic-high,4250,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.02125
58,moderate,quadratic-high,1063,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.017
59,moderate,quadratic-high,1063,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.012750000000000001
60,moderate,quadratic-high,1063,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.02125
61,moderate,quadratic-high,17000,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.017
62,moderate,quadratic-high,17000,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.012750000000000001
